year,race,driver,team,quali_position,quali_time_sec,delta_to_pole,avg_race_pace,median_race_pace,stint_count,pit_stops,final_position,fp2_avg_pace,fp2_med_pace,fp2_laps,sprint_avg_pace,sprint_med_pace,sprint_laps
2024,Pre-Season Testing,NOR,McLaren,1.0,89.525,0.0,97.62211290322581,96.9075,2.0,1,1,94.2785,94.3735,6.0,,,
2024,Pre-Season Testing,VER,Red Bull Racing,2.0,89.728,0.20299999999998875,97.95993548387096,97.256,2.0,1,2,92.87225,92.818,4.0,,,
2024,Pre-Season Testing,HAM,Mercedes,3.0,89.841,0.3159999999999883,98.99708064516128,98.3415,2.0,1,6,94.0644,93.9,5.0,,,
2024,Pre-Season Testing,RUS,Mercedes,4.0,89.867,0.34199999999999875,98.60662903225808,98.1765,2.0,1,4,92.75625,92.708,4.0,,,
2024,Pre-Season Testing,PIA,McLaren,5.0,89.953,0.42799999999999727,98.29667741935482,98.1695,2.0,1,3,92.929,93.1,4.0,,,
2024,Pre-Season Testing,HUL,Haas F1 Team,6.0,90.115,0.5899999999999892,99.27395081967214,98.649,2.0,1,9,92.9795,93.0215,4.0,,,
2024,Pre-Season Testing,ALO,Aston Martin,7.0,90.214,0.688999999999993,99.2367868852459,98.573,2.0,1,8,92.8038,92.966,5.0,,,
2024,Pre-Season Testing,TSU,RB,8.0,90.354,0.8289999999999935,99.36660655737705,99.034,2.0,1,12,93.3004,92.582,5.0,,,
2024,Pre-Season Testing,LEC,Ferrari,9.0,89.747,0.2219999999999942,98.62904838709677,98.658,2.0,1,5,91.7358,91.665,5.0,,,
2024,Pre-Season Testing,SAI,Ferrari,10.0,90.108,0.5829999999999984,99.17112903225807,98.51650000000001,2.0,1,7,93.190666666,92.6625,6.0,,,
2024,Pre-Season Testing,ALB,Williams,11.0,90.474,0.9489999999999981,104.04686666666666,99.762,2.0,1,20,92.4668,92.238,5.0,,,
2024,Pre-Season Testing,COL,Williams,12.0,90.481,0.9559999999999889,99.3254918032787,98.833,2.0,1,11,94.343666666,93.729,6.0,,,
2024,Pre-Season Testing,PER,Red Bull Racing,13.0,90.579,1.0539999999999878,99.2982786885246,98.722,2.0,1,10,92.9296,93.266,5.0,,,
